terms,total
"Rechtssubjekt, Rechtsträger",280
"StVO, Straßenverkehrsordnung",133
gemeinnützige Arbeit,4
"Annullierung, Aufhebung",419
Grenzen,537
"Befreiungsvermächtnis, Vermächtnis der Befreiung von einer Schuld",0
Volljährigkeit,39
Vertretener,0
Generalvollmacht,2
Verfahrensfehler,0
Stimmrecht,197
Gratisaktie,0
"Eheschließung, Heirat, Trauung",146
"Eheschließung, Heirat, Trauung",146
"Eheschließung, Heirat, Trauung",146
"vertretbare Sache, vertretbares Gut",1
Handlung,313
Gesamtschuld,10
"Gesamtschuld, Gesamtschuldverhältnis",12
vertragliche Haftung,0
Konkursgericht,2
Löschungsquittung,0
"Willenserklärung, Willensäußerung",21
Aufgeld,6
"Erfordernisse des Vertrages, wesentliche Vertragsbestandteile",1
neuer Antrag,8
"vertragliches Vorkaufsrecht, vertragliches Vormietrecht, vertragliches Vorzugsrecht",0
Leasinggeber,6
Genossenschaft,315
"Schuldverhältnis, Verbindlichkeit, Verpflichtung",663
"Schuldverhältnis, Verbindlichkeit, Verpflichtung",663
Nennwert,43
zugelassene Forderung,0
Rücklage,44
gemeinsame Absicht der Parteien,1
vertraglich festgesetztes Veräußerungsverbot,0
vorgeschobene Person,18
Irrtum über den Tatumstand,1
"Sozialpartner, Tarifpartner",44
"Sozialpartner, Tarifpartner",44
"Schuld, Verschulden",263
Vorsatz,30
"Einwilligung nach Aufklärung, informierte Einwilligung",7
Volljähriger,9
Fortpflanzungsfähigkeit,0
Pflicht zur Treue,1
"Minderjähriger, minderjährige Person",66
"Minderjähriger, minderjährige Person",66
Rate,139
Personenstandsregister,7
Heimfall,14
Verhandlungen,131
direktes Leasing,0
Kommunalleasing,0
"Konsumkredit, Verbraucherkredit",0
"TAEG, jährlicher effektiver Globalzinssatz",0
"Konsumentenschutzverein, Verbraucherorganisation, Verbraucherverband",0
Geldgeber,6
Ausübung der Kaufoption,1
Grundsatz der Gesetzmäßigkeit,0
"Fortbildung, Weiterbildung, berufliche Fortbildung, berufliche Weiterbildung",957
"Fortbildung, Weiterbildung, berufliche Fortbildung, berufliche Weiterbildung",957
Beschimpfung von Gräbern,0
"Leasing, Leasingvertrag",95
wirtschaftliches Gut,0
"Revolving-Kredit, Revolvingkredit",0
Ausschlagung der Erbschaft,7
"wöchentliche Arbeitsruhe, wöchentlicher Ruhetag",2
"begünstigtes Darlehen, gefördertes Darlehen",4
"Benutzungsrecht, Gebrauch, Gebrauchsrecht, Recht zum Gebrauch",552
"Benutzungsrecht, Gebrauch, Gebrauchsrecht, Recht zum Gebrauch",552
"Benutzungsrecht, Gebrauch, Gebrauchsrecht, Recht zum Gebrauch",552
Strand,1
Versprechender,0
Treue,2
Zeuge,14
Zusammenleben,42
Pseudonym,2
Erblasser,130
Termineinlage,0
"Abhebung, Behebung",121
Bankgeschäft in Form des Kontokorrents,0
Sollkonto,0
Scheckheft,0
Wertpapierbörse,0
Kreditversicherung,0
versichertes Risiko,0
Erlebensversicherung,0
Versicherungswert,3
"Beförderung von Personen, Personenbeförderung",93
"Beförderung von Personen, Personenbeförderung",93
Mutwilligkeit,1
fehlerhafter Besitz,1
"Gemeindenverbund, Gemeindenzusammenschluss",6
Einrichtung,1248
"13. Monatslohn, dreizehnter Monatslohn, dreizehntes Monatsgehalt",9
"13. Monatslohn, dreizehnter Monatslohn, dreizehntes Monatsgehalt",9
"Abschluss eines Vertrags, Zustandekommen des Vertrags",1
Devisenswap,0
Cash and Carry,0
Kurs,214
Familienberatungsstelle,7
Mehrheitswahlsystem,0
Verhältniswahlsystem,3
Grundsatz des Vertrauensschutzes,2
"Gemeinderatswahlen, Gemeindewahlen",71
Luftfrachtvertrag,0
ständige Kommission,3
"Gesetzgebung, gesetzgebende Tätigkeit",281
"Gesetzgebung, gesetzgebende Tätigkeit",281
Wahlamt,79
Wahlschein,3
Wahlkampagne,8
Gewaltenteilung,2
grüne Karte,0
technische Regierung,0
"Arbeitsbestätigung, Arbeitszeugnis, Dienstzeugnis",4
"Arbeitsbestätigung, Arbeitszeugnis, Dienstzeugnis",4
"Arbeitsbestätigung, Arbeitszeugnis, Dienstzeugnis",4
Mitteilung,1194
Selbstbeteiligung,3
Wert der versicherten Sache,3
rückwirkend,32
rechtswirksamer Verwaltungsakt,0
erhoffter Gewinn,0
"gewerbliche Güterbeförderung, gewerblicher Güterkraftverkehr",2
"gewerbliche Güterbeförderung, gewerblicher Güterkraftverkehr",2
Versicherungsdauer,1
"Ersatzpflicht, Schadenersatzpflicht",1
Diensteanbieter,0
Nutzer,290
"Schadenanzeige, Schadenmeldung, Schadensanzeige, Schadensmeldung",7
"Schadenanzeige, Schadenmeldung, Schadensanzeige, Schadensmeldung",7
Wiedereinsetzung in den vorigen Stand,10
nichtig,285
Generalpolice,0
Versicherungsbroker,2
Risiko,240
Versicherung auf Erstes Risiko,0
Sammel-Verwaltungsakt,0
besondere Bedingungen,4
"Geschädigter, durch die strafbare Handlung Geschädigter",4
Veräußerungsvertrag,1
Übergabe der Sache,4
faires Verfahren,0
Essensgutschein,8
Abstellung,23
"Pensionierung, Versetzung in den Ruhestand",38
"Pensionierung, Versetzung in den Ruhestand",38
"Parteienvernehmung, förmliche Vernehmung",2
"Konzessionär, Vertragshändler",163
laufendes Jahr,0
laufender Monat,0
"rechtswidrig, unrechtmäßig",74
Sichteinlage,0
"CIE, EIK, elektronische Identitätskarte, elektronischer Personalausweis",7
Interesse der Allgemeinheit,19
kleine Ausbesserungen,1
notwendige Ausbesserungen,1
Präsenzquorum,0
Wertpapier,18
"Berichtigung, Richtigstellung",121
Darlehensversprechen,1
Schuldverschreibung,3
Erkennungsausweis,52
Entgelt,205
Zwangsräumung,17
Pannendienst,2
Trödler,0
nichtiger Verwaltungsakt,0
Erziehungsrecht,1
Analogie zugunsten des Täters,0
Handlung,313
"Führung, Tat",1651
Verfahrenspartei,1
"Hinterlegung, Verwahrung",635
"Hinterlegung, Verwahrung",635
Kernfamilie,58
Unterhaltsberechtigter,0
Notlage,45
parlamentarische Immunität,0
Leasinggesellschaft,25
"beiderseitiger Scheidungsantrag, gemeinsamer Antrag auf Ehescheidung, gemeinsamer Antrag auf einverständliche Ehescheidung, gemeinsamer Scheidungsantrag",0
eheliche Rechte und Pflichten,1
eheliche Wohnung,2
verwaltungsgerichtliches Verfahren,0
Ablehnungserklärung,10
aktive Rechtsposition,0
land- und forstwirtschaftliche Tätigkeit,0
relative Immunität,0
gerichtliche Feststellung der Vaterschaft,6
leiblicher Vater,0
Zustellungsbericht,12
medizinisch unterstützte Fortpflanzung,0
Verwaltungstätigkeit,119
adoptierende Ehegatten,0
Erlöschen des Verfahrens,23
Unabhängigkeit des Staates,1
Verbindung,412
feindselige Handlung,0
leibliche Mutter,0
Einheit des Staates,0
"Staatshoheit, oberste Staatsgewalt",3
militärische Operation,0
militärische Spionage,0
"endgültige Entscheidung, endgültiges Urteil",26
gewerbliches Verfahren,0
Staatsgeschäft,0
Verschlechterungsverbot,3
Anschlag,49
militärische Disziplin,0
Druckwerk,0
Begründungspflicht,2
Teilnehmer,234
Tonaufnahme,6
Tonbildaufnahme,2
"Öffentlichkeit der Hauptverhandlung, Öffentlichkeit der Verhandlung",1
Einmalprämie,0
Unverletzlichkeit der persönlichen Freiheit,0
Ausübung der politischen Rechte,1
ausländischer Staat,4
Anführer,0
Verteidigung im Strafverfahren,0
"Antragsteller, antragstellende Partei",830
Zulassung zu den öffentlichen Ämtern,3
Organ der Verwaltungsgerichtsbarkeit,3
Beistand eines Dolmetschers,0
"irreparabler Nachteil, nicht wiedergutzumachende Beeinträchtigung, nicht wiedergutzumachender Nachteil",0
Obligationsdarlehen,2
Zustellungsbevollmächtigter,0
Einrichtung der direkten Demokratie,0
"mittelbare Demokratie, repräsentative Demokratie",12
Beurkundung,19
heimtückisches Mittel,0
Gift,4
Vollstreckungshandlung,1
"Offenbarung von Amtsgeheimnissen, Verletzung des Amtsgeheimnisses",3
Widerstand gegen eine Amtsperson,0
"Einwohnerregister, Melderegister, Register der ansässigen Bevölkerung",17
"Einwohnerregister, Melderegister, Register der ansässigen Bevölkerung",17
"Nutzung von Amtsgeheimnissen, Verletzung des Amtsgeheimnisses, Verwertung von Amtsgeheimnissen",4
Standesamt,3
"Katastrophe, allgemeine Katastrophe, öffentliches Unglück",12
Amtshandlung,16
Gehorsam,1
mehrere Personen gemeinschaftlich,0
Volksbegehren,51
leichte Körperverletzung,0
"Erkrankung, Krankheit",354
Führerscheinentzug,12
"Behinderung der Sprache, Schädigung der Sprache",0
"Behinderung der Sprache, Schädigung der Sprache",0
"Unterlassung der Anzeige, Unterlassung der Berichterstattung, Unterlassung einer Anzeige",0
Beweisaufnahme,41
unheilbare Krankheit,0
Gewalt gegen Sachen,0
Abnahme des Fahrzeugscheins,0
"Alkohol am Steuer, Trunkenheit am Steuer",2
Fahrzeugschein,9
falsche Zeugenaussage,1
Alkomat,0
öffentliche Dienstbarkeit,0
Liste der Amtssachverständigen,5
"ABS, Antiblockiersystem",441
Kraftfahrzeugsteuer,76
Führerscheinkategorie,0
Vermögen des Staates,17
Pflichtversicherungsschein,0
"Autohaftpflichtversicherung, Autohaftpflichtversicherungsvertrag",0
"Autohaftpflichtversicherung, Autohaftpflichtversicherungsvertrag",0
zentrales Fahrzeugarchiv,1
zentrales Register der Führerscheininhaber,1
Schutzhelm,15
Fußgänger,45
"Fahrübungsschein, provisorische Fahrerlaubnis",5
"Fahrübungsschein, provisorische Fahrerlaubnis",5
Sklave,0
Verstoß,298
"Fahrer, Fahrzeuglenker",409
"Pflichteinstellung, Pflichtvermittlung, obligatorische Arbeitsvermittlung",19
"Pflichteinstellung, Pflichtvermittlung, obligatorische Arbeitsvermittlung",19
"Dienstsitz, ordentlicher Dienstsitz",117
"Dienstsitz, ordentlicher Dienstsitz",117
Dienstwohnung,46
Fußgängerzone,1
"Computerkriminalität, Cybercrime",1
"Computerkriminalität, Cybercrime",1
"Telekommunikationsanlage, Telekommunikationssystem",0
"Fußgängerübergang, Fußgängerüberweg",6
"Fußgängerübergang, Fußgängerüberweg",6
ampelgeregelter Fußgängerüberweg,0
Computerdelikt,0
"internationale Fahrerlaubnis, internationaler Führerschein",5
Fahrtauglichkeit,7
Abwesenheit wegen Krankheit,36
"Straßenverkehr, Verkehr",652
"Straßenverkehr, Verkehr",652
"Einbahn, Fahrbahn mit Einbahnverkehr",6
"Notspur, Pannenstreifen",15
"Notspur, Pannenstreifen",15
Fahrstreifen für den durchgehenden Verkehr,8
"Fahrbahnteiler, Verkehrstrennungsinsel",7
Bahnübergang,7
halbbeschrankter Bahnübergang,0
beschrankter Bahnübergang,0
Gehsteig,14
Gehweg,2
höhenfreie Kreuzung,2
"Mittelinsel, Schutzinsel",2
Einbahnstraße,1
"Ausgabe von Falschgeld, Ausgeben von Falschgeld",0
unbeschrankter Bahnübergang,0
Straßengrenze,12
Stempelabdruck einer öffentlichen Beglaubigung,0
Straße,281
Straßeneigentümer,66
angetrunkener Zustand,0
Saumpfad,2
Bahnkörper,5
Gegenverkehrsfahrbahn,1
Gemeindestraße,7
öffentliche Ordnung,19
Bereitschaftsdienst,85
"Beschilderung, Straßenbeschilderung, Verkehrszeichen und -einrichtungen",111
"Beschilderung, Straßenbeschilderung, Verkehrszeichen und -einrichtungen",111
"falsche Angabe, unrichtige Angabe, unwahre Angabe, unwahre Erklärung",0
bezahlter Sonderurlaub,5
Parken,61
Anhalten,66
Klassifizierung der Straßen,10
"Angeklagter, Beschuldigter",7
"Angeklagter, Beschuldigter",7
"Eignung, Tauglichkeit",607
Kaution,324
schwerwiegende Schuldindizien,0
"Zuweisung eines Zwangsaufenthalts, Zwangsaufenthalt",2
"Pflicht zur Meldung bei der Gerichtspolizei, Verpflichtung, sich bei der Gerichtspolizei zu melden",2
Amtsgutachten,8
Urkundenbeweis,2
Eigentumsbescheinigung,3
Verunreinigung,83
Zulassungsbescheinigung des Herkunftsstaates,1
"Unterscheidungszeichen des Herkunftsstaates, Unterscheidungszeichen des Zulassungsstaates",1
Wiederholungskennzeichen,3
"Rechtskraft, rechtskräftige Entscheidung",57
"Rechtskraft, rechtskräftige Entscheidung",57
Strafrechtspflege,0
Vollstreckungsbefehl,2
Wiederaufnahme,181
Berufungskläger,7
aufschiebende Wirkung,7
"Erneuerung des Beweisverfahrens in der Hauptverhandlung, Neudurchführung der Hauptverhandlung zur Aufnahme der für die Entscheidung erheblichen Beweise",1
"Erneuerung des Beweisverfahrens in der Hauptverhandlung, Neudurchführung der Hauptverhandlung zur Aufnahme der für die Entscheidung erheblichen Beweise",1
berechtigte Verhinderung,1
"Gewährung der Verfahrenshilfe, Zulassung zum kostenlosen Rechtsbeistand",0
"Eröffnung der Hauptverhandlung, Eröffnung der Verhandlung",8
Beweisaufnahme,41
Mitangeklagter,0
Strafbefehl,24
Urteilsfällung,3
Erörterung,105
Urteilsspruch,22
Hauptverfahren,39
als freie Person,1
Widerspruch,367
Zwischenstreitfrage,1
Einleitung des Hauptverfahrens,22
auf Verurteilung lautendes Urteil,9
Urteil auf Unzulässigkeit des Verfahrens,2
Aussetzung des Verfahrens,21
Freilandstraße,4
Bioabfall,0
Organisationsakt,1
Fahrzeugbescheinigung,12
Nachtrag im Fahrzeugschein,1
"Angehaltener, Verhafteter",0
"Anklage, Strafverfolgung",36
"Anklage, Strafverfolgung",36
"Archivierungsdekret, Dekret auf Archivierung",2
Verteidiger der verletzten Person,1
"Feststellung der Identität der Person, Identifizierung der Person",9
"Feststellung der Identität der Person, Identifizierung der Person",9
"Anklage, Anklagesatz",24
Erhebung,332
Vorerhebungen,57
"Verdächtiger, eines Verbrechens verdächtigte Person",0
"Ansuchen um Strafverfolgung, Strafantrag",14
"Ansuchen um Strafverfolgung, Strafantrag",14
"Person, die über den Sachverhalt Bescheid weiß",0
Vorfahrt,22
"Invalidengeld, ordentliches Invalidengeld",0
"Invalidengeld, ordentliches Invalidengeld",0
Vermietung ohne Fahrer,3
"Kandidatenliste, Wahlwerberliste",24
"Fahrlehrer, Praxis-Fahrschullehrer, Praxisfahrlehrer",15
"Führerscheinanwärter, Führerscheinbewerber",2
Probeabmachung,2
Ausdehnung der Führerscheingültigkeit,1
Verkehrsschild,1
Gefahrenzeichen,2
Vorschriftszeichen,2
Hinweiszeichen,5
Bodenmarkierung,6
"manuelle Arbeit, manuelle Arbeitsleistung, manuelle Tätigkeit",3
"manuelle Arbeit, manuelle Arbeitsleistung, manuelle Tätigkeit",3
"manuelle Arbeit, manuelle Arbeitsleistung, manuelle Tätigkeit",3
Landarbeiter,16
"zeitweilige Dienstenthebung, zeitweilige Enthebung vom Dienst",28
"zeitweilige Dienstenthebung, zeitweilige Enthebung vom Dienst",28
"Stimmenzähler, Stimmzähler",113
"Stimmenzähler, Stimmzähler",113
stationäre Betreuung,3
"Feiertag, Feiertag, der auf einen Werktag fällt",28
Ausgleichsruhetag,2
Listengruppierung,0
"Privatrechtssubjekt, privater Rechtsträger, privates Rechtssubjekt, privatrechtliches Rechtssubjekt",6
Abfertigung,195
"Kandidat, Wahlwerber",235
"gerichtliche Schlichtung, gerichtlicher Vergleich",0
Arbeitnehmer aus Nicht-EU-Ländern,0
abgestellter Arbeitnehmer,0
"Allgemeinmediziner, Arzt für Allgemeinmedizin, Hausarzt, Vertrauensarzt",115
"Allgemeinmediziner, Arzt für Allgemeinmedizin, Hausarzt, Vertrauensarzt",115
"Dienst für Betreuungskontinuität, ärztlicher Bereitschaftsdienst",3
privates Gewässer,0
Amtsblatt,918
Fließband,0
Wahrung des Betriebsgeheimnisses,1
angemessene Entlohnung,0
Stückakkord,0
"Stimmzettel, Wahlzettel",425
Zweckbestimmung,531
"Teilnehmer, Vertragnehmer",264
Mietfahrzeug mit Fahrer,5
Alkoholgehalt,19
Führerscheinneuling,0
Kreditrisiko,2
Investmentgesellschaft,0
Anteilserwerb,0
unabhängiger Verwalter,0
verfassunggebende Versammlung,7
Schiedsvereinbarung,2
Gesetz der Verfassungsrevision,0
"Verteidigungshandlung, Verteidigungsschrift, Verteidigungsvorbringen",9
"Verteidigungshandlung, Verteidigungsschrift, Verteidigungsvorbringen",9
Geisteskrankheit,23
Ladung,92
Mitglied des Aufsichtsrats,1
Schutz der Wohnung,0
"Auferlegung der Kosten, Verurteilung zur Tragung der Kosten",2
geregelter Markt,0
Einbürgerung,0
Volksbank,0
Säumnis,19
"Risikokapital, Wagniskapital",3
Übertragung von Beteiligungen,1
Anknüpfungskriterium,0
Bestellung des Geschäftsführers,0
Leistungsaufforderung,10
Sachwalterschaft,29
Verwahrer,159
alleinige Obsorge,0
Einelternfamilie,0
Persönlichkeitsrecht,1
"Ehegatte, Ehegattin",170
"Berufung an den Kassationsgerichtshof, Kassationsbeschwerde",50
"Berufung an den Kassationsgerichtshof, Kassationsbeschwerde",50
"Ausschlussfrist, Fallfrist, Verfallsfrist",232
Verfahrensfrist,1
gesetzliche Frist,2
"Eid, Eidesleistung",58
"Eid, Eidesleistung",58
Entziehung,37
petitorisches Verfahren,1
"Miteigentumsgemeinschaft, Miteigentümergemeinschaft",55
gerichtlicher Augenschein,1
"KV, Kollektivarbeitsvertrag, Kollektivvertrag",276
"KV, Kollektivarbeitsvertrag, Kollektivvertrag",276
"KV, Kollektivarbeitsvertrag, Kollektivvertrag",276
Hypothek,197
Verpfändung von Wertpapieren,1
häusliche Gewalt,3
"Fruchtgenuss, Fruchtgenussrecht",76
"Fruchtgenuss, Fruchtgenussrecht",76
"Dienstrang, Rang, beruflicher Rang",257
"Dienstrang, Rang, beruflicher Rang",257
Veräußerungsverbot,9
"Katastermappe, Katasterplan",3
"Grundkataster, Grundstückkataster",3
"Grundkataster, Grundstückkataster",3
wirtschaftliche Tätigkeit,20
Vereinigung,249
künftiges Gut,0
gerichtliche Verfügung,6
Abfassung des Protokolls,7
"Beschlussfassung über das Urteil, Urteilsberatung",3
"Anklagegrundsatz, auf dem Anklagegrundsatz fußendes Prozessmodell",0
"Flüchtiger, flüchtiger Angeklagter",0
vorbeugende Maßnahme,7
Untersuchungsgrundsatz,0
"Hemmung, Hemmung der Verjährung",29
"Ergebnis des Geschäftsjahres, wirtschaftliches Ergebnis",3
Gebrauch,539
Nichtigerklärung,100
Rechtshandlung,134
"Rechtstitel, Titel",1058
"Rechtstitel, Titel",1058
Treuhänder,0
"Abschluss eines Vertrages, Vertragsabschluss",45
halbbürtige Geschwister,4
Heilung,19
"Berufung an den Kassationsgerichtshof, Kassationsbeschwerde",50
"Berufung an den Kassationsgerichtshof, Kassationsbeschwerde",50
"Androhung, Bedrohung",8
"Androhung, Bedrohung",8
"Haftung, Verantwortlichkeit, Verantwortung, zivilrechtliche Haftung",1023
"Wiederkauf, Wiederkaufsrecht",23
Zinssatz,51
"Fälligkeitstermin, Zeitpunkt der Fälligkeit",12
Nennwert,43
"Versicherer, Versicherungsgesellschaft",119
Auftraggeber,533
Unfruchtbarkeit,8
Pfad,2
"Kennzeichen, Kennzeichenschild",123
"Beförderung von Sachen, Güterbeförderung",41
Verbesserung,558
"Darlehen, Darlehensvertrag",643
"Darlehen, Darlehensvertrag",643
"Forststraße, Forstweg",2
"Geldbuße, Geldstrafe",920
"Geldbuße, Geldstrafe",920
Absonderung der Güter des Verstorbenen,3
geistiger Beruf,0
Testamentsvollstreckung,0
Last der Erbschaft,0
gerichtliche Teilung,3
Ausrüstung,143
"Haufen, bewaffnete Bande, bewaffneter Haufen",2
Schenkung unter Auflage,2
"Unterschrift, Unterzeichnung",548
"Unterschrift, Unterzeichnung",548
Plünderung,0
Aneignung,42
Unschuldiger,0
Wegnahme einer Leiche,0
"FQN, Fahrerqualifizierungsnachweis",9
"FQN, Fahrerqualifizierungsnachweis",9
Widerspruch gegen den Antrag auf Archivierung,2
Hypothekarschuldner,0
"Option, Optionsvertrag",19
Titel,823
Erfüllung der Auflage,4
Verkehrszeichen,55
Zusatzzeichen und -einrichtung,0
Lichtzeichen,8
Vorfahrtszeichen,2
Verbotszeichen,2
Gebotszeichen,3
Einsturz eines Gebäudes,1
"Theorieprüfung, theoretische Prüfung",7
"Führerscheinprüfer, Prüfer",27
Echtheit,14
Geh- und Radweg,1
"Eheschließung vor dem Standesbeamten, Zivilehe",1
Schwangerschaftsabbruch,0
künstliche Befruchtung,0
Vermerk,54
Gespräch,72
provisorisches Kennzeichen,0
"Kfz, Kraftfahrzeug",25
Beschädigung des Fahrzeugscheins,0
"Abmeldung, Löschung",173
Eugenik,1
Nationalflagge,0
Legislative,5
vorausgegangene Entscheidung,0
Verschwendungssucht,3
Bezüge der Abgeordneten,0
rechtsprechende Gewalt,0
Parlamentsunterlagen,0
Konferenz der Fraktionsvorsitzenden,0
Parlament in gemeinsamer Sitzung,6
Zuständigkeit,1060
öffentlich-rechtlicher Akt,0
Kollegialorgan,19
Gerichtsorgan,2
Ehefreiheit,0
Geburtsnachweis,0
"Anmeldung einer Geburt, Geburtsanmeldung",0
"Anmeldung einer Geburt, Geburtsanmeldung",0
"Gesetzgebungsgewalt, gesetzgebende Gewalt",4
Erlass,289
Klagebefugnis,3
"Ermächtigung zur Führung eines Prozesses, Klagebefugnis",3
"E-Government, digitale Verwaltung, eGov, eGovernment",6
Protokolldatei,0
Spam,0
willentlich,5
Berichterstatter,45
Verzicht auf die Verfahrenshandlungen,1
"Biogasanlage, Biomüllvergärungsanlage, Faulturm, Fermenter",1
"Biogasanlage, Biomüllvergärungsanlage, Faulturm, Fermenter",1
"Biogasanlage, Biomüllvergärungsanlage, Faulturm, Fermenter",1
Krematorium,0
Abfallbehandlung,2
medizinischer Abfall,0
amtliches Sachverständigengutachten,0
Kassationsgerichtshof,38
Eheversprechen,7
"Gesellschafterversammlung, Versammlung",535
"Gesellschafterversammlung, Versammlung",535
Gesellschaftsvertrag,16
Bezirksgericht,92
Qualifizierungssystem,14
Register für die Nachrichten über strafbare Handlungen,2
"Berufungsschwurgericht, Schwurgericht zweiter Instanz",13
"Bezirksgericht, Bezirksrichter",131
"Bezirksgericht, Bezirksrichter",131
gesetzlicher Ehegüterstand,1
Nutzungspfand,9
Oberlandesgericht,118
Schwurgericht,36
Zubehör,256
Schatzfund,0
Abtretung,317
höhere Gewalt,28
"Zeugenaussage, Zeugenbeweis",29
"Gründungsakt, Gründungsurkunde, Gründungsvertrag",236
Einlage,43
höhere Gewalt,28
Geisteskrankheit,23
"Kompetenzkonflikt, Zuständigkeitskonflikt",5
"Wille, Wollen",272
Bestimmung der Verfahrenskosten,1
Speditionsvertrag,2
Darlegung der Tatsachen,10
"G, Gesetz",4461
Touristiksachbearbeiter,5
unverletzliche Rechte des Menschen,0
Nutzen,293
Auslegung durch die Rechtsprechung,1
Ziviljustiz,0
"elektronische Akte, elektronische Verfahrensakte",2
Pflegschaft,6
Aufsichtsrat,100
"Arzneimittelkontrolle, Arzneimittelüberwachung, Pharmakovigilanz",2
"Arzneimittelkontrolle, Arzneimittelüberwachung, Pharmakovigilanz",2
Ethikkomitee,13
"Kraftfahrzeughaftpflichtversicherung, Pflichtversicherung",24
Kode,11
unbezahlte Arbeit,0
klinischer Versuch,0
Gebühreneinheit,0
Geburtenregister,5
Außenpolitik,2
Lebensgemeinschaftsvertrag,0
Personenstand,19
Fahrzeugscheininhaber,0
ordentlicher Richter,0
Kraftwagen,128
Personenkraftwagen,37
Kraftomnibus,0
außerhalb von Geschäftsräumen geschlossener Vertrag,0
Direktverkauf,4
Gelenkbus,0
Wohnmobil,1
Lastzug,2
Flurförderzeug,2
landwirtschaftliche Maschine,1
landwirtschaftliche Zugmaschine,0
im Einvernehmen,595
Privatinteresse,0
landwirtschaftliche Arbeitsmaschine,0
"Privatschule, private Schule",11
"Privatschule, private Schule",11
verwaltungsgerichtlicher Rekurs,0
Handfahrzeug,0
Kradfahrzeug,2
Fußgängerstrom,1
Kraftrad mit Beiwagen,0
"Staatsprüfung, Staatsprüfung zur Erlangung der Berufsbefähigung",33
"Staatsprüfung, Staatsprüfung zur Erlangung der Berufsbefähigung",33
freie Einwilligung,0
Vertrauensperson,43
"Krankenakte, Krankengeschichte, Patientenakte",16
"Kläranlage, Klärwerk, Wasserreinigungsanlage",41
"Kläranlage, Klärwerk, Wasserreinigungsanlage",41
"Kläranlage, Klärwerk, Wasserreinigungsanlage",41
fließendes Gewässer,1
Oberflächengewässer,115
Grundwasser,101
"Landschaftsplan, Landschaftsschutzplan",19
Nebenerzeugnis,4
Vermittler von Abfällen,2
Umweltverschmutzung,27
Schwangerschaftsabbruch ohne Einwilligung der Schwangeren,0
Denkmalschutz,68
Erhaltung von Kulturgütern,3
"Nutzung, öffentliche Nutzung",1313
"Nutzung, öffentliche Nutzung",1313
Vorbeugung,250
öffentliche Bibliothek,6
archäologische Fundstätte,1
Privatarchiv,0
Zwischenarchiv,7
"Atemschutz, Atemschutzgerät, Schutzausrüstung der Atemwege",1
"Gehörschutzpfropfen, Gehörschutzstöpsel, Ohrenstöpsel, Stöpsel für das Gehör",1
"Gehörschutzpfropfen, Gehörschutzstöpsel, Ohrenstöpsel, Stöpsel für das Gehör",1
dämmende Wirkung,1
Gehörschutzbügel,0
Gehörschutzkapsel,0
Halteseil,0
Anstoßkappe,0
"IR, Infrarotstrahlung",2
"IR, Infrarotstrahlung",2
Knieschützer,0
Korbbrille,0
oberer Auslösewert,0
Restrisiko,1
Rückhaltesystem,1
"Schadstoff, gesundheitsschädlicher Stoff, schädlicher Arbeitsstoff, schädlicher Stoff",0
"Schadstoff, gesundheitsschädlicher Stoff, schädlicher Arbeitsstoff, schädlicher Stoff",0
Sicherheitsgurt,4
"Schutzärmel, Unterarmstulpe",0
"Schutzärmel, Unterarmstulpe",0
"Auffangsystem, Schutzsystem gegen Absturz",1
"Turmdrehkran, Turmkran",0
Umgebungstemperatur,2
unterer Auslösewert,0
"UV-B-Strahlung, UVB-Strahlung",2
UV-C-Strahlung,1
"UV, UV-Strahlung, ultraviolette Strahlung",3
"UV, UV-Strahlung, ultraviolette Strahlung",3
"UV, UV-Strahlung, ultraviolette Strahlung",3
Arbeitsstoff,17
Ausbildung,1351
Betriebsarzt,66
"Bildschirmarbeiter, Bildschirmverwender",0
"Bildschirmarbeiter, Bildschirmverwender",0
Brandrisiko,7
Brandschutzbeauftragter,1
Erste-Hilfe-Beauftragter,0
"Mikroklima, Raumklima",11
"Mikroklima, Raumklima",11
"PSA, persönliche Schutzausrüstung",41
Risikobeseitigung,1
Risikowahrnehmung,0
Schadensausmaß,2
"Arbeitsschutzmaßnahmen, Präventions- und Schutzmaßnahmen, Vorbeuge- und Schutzmaßnahmen, Vorsorge- und Schutzmaßnahmen",40
"Arbeitsschutzmaßnahmen, Präventions- und Schutzmaßnahmen, Vorbeuge- und Schutzmaßnahmen, Vorsorge- und Schutzmaßnahmen",40
"Präventionsmaßnahme, Vorbeugemaßnahme, Vorsorgemaßnahme",1
"Präventionsmaßnahme, Vorbeugemaßnahme, Vorsorgemaßnahme",1
Vorsorgeuntersuchung,2
Flussverkehr,0
verbale Kommunikation,10
"Bildzeichen, Piktogramm",17
"Bildzeichen, Piktogramm",17
"Dachfenster, Oberlicht",0
Löschmittel,4
elektrischer Leiter,0
Betriebsanweisung,0
Schutz der Atemwege,20
Sammelplatz,8
Notversorgung,3
"Einweiser, Signalgeber",8
"Einweiser, Signalgeber",8
Lüftung,24
künstliche Belüftung,0
Raumluft,2
"Selbstentzündungstemperatur, Zündpunkt, Zündtemperatur",0
"Vollbrand, voll entwickelter Brand",0
Abkühlen,1
Löschdecke,1
Ersticken,1
Zündphase,0
Entstehungsphase,1
tragbarer Feuerlöscher,0
Brandmelder,6
"erhöhtes Brandrisiko, hohes Brandrisiko",0
"geringes Brandrisiko, niedriges Brandrisiko",0
Überflurhydrant,0
